,id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
6200,40368301,218336992,Highland Creek,43.78426,-79.17592,Private room,120.0,28,2,2019-12-02,0.04,4,0,0,1.5
6201,40368466,38459934,Waterfront Communities-The Island,43.64906,-79.38866,Entire home/apt,187.0,30,1,2021-03-31,0.03,19,6,0,4.85
6202,40368742,218336992,Highland Creek,43.78563,-79.17797,Private room,120.0,28,1,2020-01-05,0.02,4,0,0,4.85
6203,40368894,218336992,Highland Creek,43.78569,-79.17574,Private room,120.0,28,5,2020-03-09,0.1,4,0,0,4.2
6204,40369837,38459934,Waterfront Communities-The Island,43.64906,-79.38866,Entire home/apt,187.0,31,2,2020-08-29,0.04,19,74,0,4.85
6205,40372523,17482137,Niagara,43.6433,-79.40733,Entire home/apt,120.0,28,1,2019-12-16,0.02,1,0,0,4.85
6206,40376320,312092034,Bay Street Corridor,43.66687,-79.38634,Entire home/apt,120.0,28,19,2020-10-28,0.38,1,0,0,4.68
6207,40377179,61713393,Waterfront Communities-The Island,43.6407,-79.39757,Entire home/apt,120.0,28,12,2020-02-09,0.24,4,0,0,4.83
6208,40393898,98712163,Dorset Park,43.76829,-79.2833,Entire home/apt,150.0,28,2,2020-01-01,0.04,1,179,0,4.85
6209,40394114,38459934,Waterfront Communities-The Island,43.64952,-79.38796,Entire home/apt,248.0,31,3,2023-09-16,0.21,19,1,2,4.33
6210,40395497,312250265,Rockcliffe-Smythe,43.66851,-79.49334,Private room,200.0,2,71,2023-11-05,1.42,2,221,22,4.86
6211,40408587,30736475,East End-Danforth,43.6836,-79.3114,Entire home/apt,120.0,3,17,2023-11-01,1.3,1,0,15,4.71
6212,40428662,177659502,High Park North,43.65367,-79.46494,Entire home/apt,100.0,28,6,2023-05-23,0.24,1,365,3,5.0
6213,40429055,312678612,Clanton Park,43.73768,-79.44488,Entire home/apt,227.0,3,12,2023-06-10,0.25,1,352,1,5.0
6214,40434986,312754740,Newtonbrook East,43.78797,-79.4161,Private room,50.0,28,1,2020-02-23,0.02,1,179,0,4.85
6215,40441810,146226441,Trinity-Bellwoods,43.64746,-79.41687,Entire home/apt,107.0,28,61,2022-09-30,1.24,35,365,0,4.59
6216,40447319,312740390,Waterfront Communities-The Island,43.6439,-79.37997,Entire home/apt,206.0,28,9,2020-03-08,0.18,1,89,0,4.67
6217,40453525,312975505,Cliffcrest,43.71753,-79.23542,Entire home/apt,120.0,28,8,2020-02-24,0.16,1,0,0,5.0
6218,40453879,82791,Regent Park,43.66039,-79.36067,Entire home/apt,100.0,60,6,2023-09-09,0.12,4,215,1,5.0
6219,40462715,196454024,Morningside,43.77257,-79.21241,Entire home/apt,96.0,28,39,2023-07-27,0.79,1,0,3,4.9
6220,40472296,180322511,Broadview North,43.69352,-79.35357,Entire home/apt,155.0,1,116,2023-10-24,5.36,1,4,47,4.9
6221,40472933,145533602,Runnymede-Bloor West Village,43.65868,-79.4818,Entire home/apt,72.0,28,38,2023-12-09,0.8,2,251,8,4.87
6222,40490018,313442456,Waterfront Communities-The Island,43.63998,-79.39625,Entire home/apt,120.0,28,26,2020-10-20,0.52,1,342,0,4.46
6223,40502101,3058259,High Park-Swansea,43.65481213231171,-79.45578854,Entire home/apt,170.0,2,75,2024-01-02,1.51,1,32,25,4.88
6224,40503244,127095094,Willowdale East,43.75959,-79.40946,Private room,120.0,28,1,2019-12-29,0.02,1,0,0,4.85
6225,40506665,22384422,Niagara,43.64223,-79.41503,Entire home/apt,120.0,28,1,2022-12-30,0.08,1,0,0,4.85
6226,40506935,26603695,Little Portugal,43.64293,-79.42363,Entire home/apt,94.0,28,4,2022-10-15,0.08,1,128,0,4.75
6227,40509407,206506241,Church-Yonge Corridor,43.66158,-79.38107,Entire home/apt,314.0,3,13,2020-03-16,0.27,1,179,0,4.92
6228,40513570,14228049,South Riverdale,43.65714,-79.33901,Entire home/apt,190.0,28,12,2022-05-05,0.26,2,0,0,4.75
6229,40524927,313760213,Moss Park,43.65159,-79.36696,Entire home/apt,120.0,28,45,2020-03-28,0.91,1,0,0,4.78
6230,40526685,22929016,North St.James Town,43.66948,-79.37831,Entire home/apt,79.0,28,121,2023-09-30,2.45,1,184,4,4.57
6231,40541246,314047995,Waterfront Communities-The Island,43.63982,-79.40043,Private room,120.0,28,1,2020-01-03,0.02,1,0,0,4.85
6232,40542415,15560422,Taylor-Massey,43.69547,-79.29998,Private room,120.0,28,7,2020-03-17,0.15,1,0,0,5.0
6233,40542430,136230400,Waterfront Communities-The Island,43.64205,-79.3992,Private room,120.0,28,3,2019-12-22,0.06,2,0,0,5.0
6234,40567858,97539128,Yonge-Eglinton,43.70727,-79.39912,Entire home/apt,120.0,28,1,2020-01-08,0.02,1,0,0,4.85
6235,40568036,4397873,South Riverdale,43.66502,-79.33715,Entire home/apt,309.0,2,10,2023-09-04,0.82,1,194,10,4.9
6236,40582629,313778922,Palmerston-Little Italy,43.65803,-79.41207,Entire home/apt,120.0,28,8,2020-08-17,0.16,1,0,0,5.0
6237,40585573,58340525,Moss Park,43.65575,-79.36931,Entire home/apt,120.0,28,1,2020-01-03,0.02,1,0,0,4.85
6238,40587278,93580918,Yorkdale-Glen Park,43.715,-79.45386,Entire home/apt,125.0,28,75,2023-08-31,1.55,1,37,19,4.76
6239,40594461,314547699,Hillcrest Village,43.80465,-79.3487,Private room,80.0,28,6,2023-06-02,0.12,1,365,1,5.0
