,id,name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,rating
16587,941089359937531286,Home in Toronto · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,527214862,Little Portugal,43.64844016125235,-79.42599985,Entire home/apt,190.0,1,3,2023-09-27,0.78,1,123,3,5.0
16588,941139865603445978,Home in Toronto · 1 bedroom · 1 bed · 1 bath,518540580,Casa Loma,43.677018,-79.4111466,Entire home/apt,144.0,28,0,,0.625,2,365,0,4.85
16589,941162589585300139,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,518540580,Casa Loma,43.67700239898787,-79.41083226,Entire home/apt,120.0,28,0,,0.625,2,365,0,4.85
16590,941184887432858534,Home in Toronto · 3 bedrooms · 4 beds · 1 bath,133536585,Newtonbrook East,43.7965763,-79.4175402,Entire home/apt,109.0,28,1,2023-11-06,0.47,2,258,1,4.85
16591,941214143314212569,Home in Toronto · ★New · 2 bedrooms · 1 bath,183277881,Danforth East York,43.68836838804224,-79.33197511,Entire home/apt,109.0,2,2,2023-12-27,2.0,1,239,2,4.85
16592,941255931343662165,Condo in Toronto · ★5.0 · 4 bedrooms · 4 beds · 2 baths,48097711,Waterfront Communities-The Island,43.64102,-79.38284,Entire home/apt,373.0,2,30,2024-01-07,7.38,1,0,30,5.0
16593,941341034143647686,Home in Toronto · ★4.77 · 1 bedroom · 2 beds · 1.5 baths,228148349,Kingsview Village-The Westway,43.69809,-79.55547,Private room,49.0,28,21,2023-11-11,3.8,3,0,21,4.77
16594,941381022431906687,Rental unit in Toronto · 2 bedrooms · 2 beds · 2 baths,149273127,Waterfront Communities-The Island,43.64126352517713,-79.38254195,Entire home/apt,26.0,28,0,,0.625,4,365,0,4.85
16595,941415126513993462,Rental unit in Toronto · ★4.63 · 2 bedrooms · 2 beds · 1 bath,211409357,Keelesdale-Eglinton West,43.6874597,-79.4647005,Entire home/apt,164.0,3,8,2023-12-29,1.71,1,270,8,4.63
16596,941470242573933531,Home in Toronto · ★5.0 · 1 bedroom · 2 beds · 1 private bath,499246629,Willowdale East,43.77069,-79.40257,Private room,115.0,28,9,2023-12-02,1.71,5,207,9,5.0
16597,941517061501392491,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,138632225,Newtonbrook East,43.79091394085573,-79.39553719,Private room,64.0,3,8,2023-11-17,1.79,3,270,8,5.0
16598,941544917959517109,Rental unit in Toronto · ★5.0 · 1 bedroom · 1 bed · 2 baths,58771991,Danforth,43.68579,-79.31674,Private room,95.0,3,4,2023-10-25,1.03,2,0,4,5.0
16599,941562714003546457,Rental unit in Toronto · ★4.75 · 2 bedrooms · 1 bed · 1 shared bath,58771991,Danforth,43.68612555078924,-79.31539611,Private room,95.0,1,4,2023-10-22,0.94,2,37,4,4.75
16600,941592181212153132,Home in Toronto · 1 bedroom · 1 bed · 1 bath,158899158,Centennial Scarborough,43.78298,-79.14119,Private room,100.0,1,1,2023-09-30,0.29,4,365,1,4.85
16601,941610927901729504,Rental unit in Toronto · ★5.0 · 1 bedroom · 2 beds · 1 bath,507076298,Waterfront Communities-The Island,43.63949,-79.39793,Private room,286.0,28,9,2023-11-14,1.8,2,50,9,5.0
16602,942025859466112985,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,218672338,High Park North,43.65711788365272,-79.45189387,Entire home/apt,150.0,3,1,2023-09-01,0.23,1,0,1,4.85
16603,942095214307782614,Home in Toronto · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,12115612,Palmerston-Little Italy,43.66152145054634,-79.41949315,Private room,151.0,1,10,2023-11-20,2.34,1,336,10,5.0
16604,942135153226908529,Home in Toronto · ★4.93 · 1 bedroom · 1 bath,523785675,Rockcliffe-Smythe,43.67239037711201,-79.4870416,Entire home/apt,162.0,2,14,2023-10-22,2.56,1,0,14,4.93
16605,942139234437085924,Rental unit in Toronto · 2 bedrooms · 3 beds · 1 bath,500031971,Trinity-Bellwoods,43.65177,-79.42089,Entire home/apt,79.0,28,0,,0.625,2,143,0,4.85
16606,942140848537861658,Rental unit in Toronto · 3 bedrooms · 3 beds · 1 bath,518540591,Trinity-Bellwoods,43.65232415594172,-79.42281125,Entire home/apt,96.0,28,0,,0.625,3,147,0,4.85
16607,942141183133512586,Rental unit in Toronto · 1 bedroom · 1 bed · 1 bath,157486961,Church-Yonge Corridor,43.66956,-79.38614,Entire home/apt,179.0,28,0,,0.625,2,23,0,4.85
